"Name","Monogamous","Polygynous","Polyandrous","Promiscuous","Solitary","Small Units","communal","parental investment","no parental investment","Caste System","no Caste System"
"Mus_caroli","","","",""
"Homo_sapiens","True","True","True","True"
"Mus_musculus","False","True","False","False"
"Rattus_norvegicus","False","False","False","True"
"Danio_rerio","False","False","False","True"
"Taeniopygia_guttata","True","False","False","False"
"Gallus_gallus","","","",""
"Bos_taurus","False","True","False","False"
"Xenopus_laevis","","","",""
"Oryctolagus_cuniculus","False","False","False","True"
"Macaca_mulatta","False","False","False","True"
"Serinus_canaria","","","",""
"Canis_lupus_familiaris","True","False","False","True"
"Ovis_aries","","","",""
"Sus_scrofa","False","True","False","False"
"Haplochromis_burtoni","","","",""
"Felis_catus","False","False","False","True"
"Pan_troglodytes","False","False","False","True"
"Zonotrichia_albicollis","","","",""
"Oryzias_latipes","","","",""
"Xenopus_laevis","","","",""
"Capra_hircus","False","True","False","False"
"Mustela_putorius_furo","False","True","False","False"
"Pteropus_alecto","","","",""
"Myotis_brandtii","","","",""
"Heterocephalus_glaber","False","False","True","False"
"Ailuropoda_melanoleuca","","","",""
"Salmo_salar","","","",""
"Ictalurus_punctatus","True","False","False","False"
"Nothobranchius_furzeri","","","",""
"Callithrix_jacchus","False","False","True","False"
"Phascolarctos_cinereus","","","",""
"Boleophthalmus_pectinirostris","","","",""
"Pogona_vitticeps","","","",""
"Labrus_bergylta","","","",""
"Monopterus_albus","","","",""
"Rhincodon_typus","False","False","False","True"
"Castor_canadensis","True","False","False","False"
"Paralichthys_olivaceus","","","",""
"Hippocampus_comes","","","",""
"Rhinolophus_sinicus","","","",""
"Hipposideros_armiger","","","",""
"Panthera_pardus","False","False","False","True"
"Scleropages_formosus","","","",""
"Nanorana_parkeri","","","",""
"Rhinopithecus_bieti","","","",""
"Lepidothrix_coronata","","","",""
"Pygocentrus_nattereri","","","",""
"Manis_javanica","False","True","False","False"
"Kryptolebias_marmoratus","","","",""
"Miniopterus_natalensis","","","",""
"Rousettus_aegyptiacus","False","False","False","True"
"Coturnix_japonica","","","",""
"Protobothrops_mucrosquamatus","","","",""
"Parus_major","","","",""
"Cyprinodon_variegatus","","","",""
"Acinonyx_jubatus","False","True","False","True"
"Poecilia_latipinna","","","",""
"Poecilia_mexicana","","","",""
"Sturnus_vulgaris","True","False","False","False"
"Equus_asinus","False","True","False","False"
"Thamnophis_sirtalis","False","False","False","True"
"Austrofundulus_limnaeus","","","",""
"Apteryx_australis_mantelli","","","",""
"Dipodomys_ordii","","","",""
"Fundulus_heteroclitus","","","",""
"Microcebus_murinus","False","True","False","False"
"Propithecus_coquereli","False","False","True","False"
"Aotus_nancymaae","True","False","False","False"
"Cercocebus_atys","False","False","False","True"
